location;name
PBT14;Terciària Mont-roig Bahía
PBT15;Terciària Vila-seca-Nord
PBT16;Terciària LOTTE
PBT91;Subterciària Tarragona-Bonavista
PL010;Edifici Control
PL011;Sala Servidors
PL012;Lloc Central de Control ETAP
PL013;Planta Baixa
PL014;Planta +1
PL015;Planta -1
PL020;Taller i Magatzem
PL030;Aula de l'aigua
PL040;Exteriors/Obra civil
PL050;Serveis auxiliars
PL051;Xarxa d'aigua de servei i hidrants
PL052;Xarxa de reg
PL053;Xarxa de desguassos
PL054;Xarxa de sanejament
PL055;Xarxa d'aigües pluvials
PL060;Arxiu
PL070;Nau Temporal de Residus ETAP
PL080;Caseta guarda ETAP
PL090;Deixalleria
PL100;Masia El Maset
PL110;Terrenys Plantació
PL120;Seguretat perimetral ETAP
PL130;Nau emmagatzematge gran volum ETAP
PV01A;Tram entre PVB04-PVT01
PV01B;Tram entre PVT01-PVT02
PV01C;Tram entre PVT02-PVT03
PV01D;Tram entre PVT03-VVB14
PV02A;Tram entre PVT01-PVT21
PV02B;Tram entre PVT21-PVT22
PV02C;Tram entre PVT22-PVT23
PV02D;Tram entre PVT23-PVT24
PV02E;Tram entre PVT24-PVD01
PV02F;Tram entre PVT25 - PVT26
PV02G;Tram entre PVT26-PVD04
PV03A;Tram entre PVT02-PVD02
PV04A;Tram entre PVT03-PVD03
PV05A;Tram entre PVT21-PVD06
PV06A;Tram entre PVT05-PVD07
PVB04;Estació Bombament Perafort EB-4
PVB27;Estació Bombament Pantà de Gaià EB-27
PVC01;Consum Catllar urbanitzacions
PVC02;Consum la Secuita
PVD01;Dipòsit Pallaresos (Jardí de l'Imperi)
PVD02;Dipòsit Perafort
PVD03;Dipòsit Garidells
PVD04;Dipòsit el Catllar - 5 Estrelles
PVD06;Dipòsit Pallaresos Park
PVD07;Dipòsit La Secuita
PVT01;Terciària Ramal els Pallaresos
PVT02;Terciària Perafort
PVT03;Terciària Garidells
PVT04;Terciària ADIF
PVT05;Terciària La Secuita
PVT21;Subterciària Urbanització Pallaresos Park
PVT22;Subterciària Sant Salvador
PVT23;Subterciària Pallaresos Poble
PVT24;Subterciària Pallaresos-El Catllar
PVT25;Subterciària el Catllar - 5 Estrelles
PVT26;Subterciària els Pallaresos Poble (futur)
RE010;Mequinensa
RE020;Riba-roja d'Ebre
RE030;Flix
RE040;Ascó
RE050;Xerta
RE051;Xerta Canal dret
RE052;Xerta Canal esquerre
RE060;Tortosa
ROSER;Roser Carré
RR01A;Tram entre PBT07-RRB10
RR01B;Tram entre RRB10-RRT01
RR01C;Tram entre RRT01-ARQ27674
RR01D;Tram entre ARQ27674-RRT03
RR01E;Tram entre RRT03-RRT04
RR01F;Tram entre RRT04-RSB12
RR02A;Tram entre RRT01-RRD01
RR03A;Tram entre ARQ27674-RRB11
RR03B;Tram entre RRB11-RRD02
RR04A;Tram entre RRT04-RRD03
RR05A;Tram entre RRT05-RRD04
RR06A;Tram entre RRT06-RRD05
RR07A;Tram entre RRT07-RRT71
RR07B;Tram entre RRT71-RRD06
RR07C;Tram entre RRT71-RRT72
RR07D;Tram entre RRT72-RRT73
RR07E;Tram entre RRT73-RRD08
RR08A;(OBSOLET) Tram entre RRT72-RRD07
RR09A;(OBSOLET) Tram entre RRT73-RRD08 (MOGUT: RR07)
RR10A;Tram entre RRT03-RRD12
RR11A;Tram entre RRT73-RRB30
RR11B;Tram entre RRB30-RRD13
RR12A;Tram entre XXXXX-RRB26
RRB10;Estació Bombament Reus-Riudoms EB-10
RRB11;Estació Bombament Maspujols EB-11
RRB26;Estació Bombament Borges del Camp EB-26
RRB30;Estació Bombament Botarell EB-30
RRC01;Consum Borges del Camp, cubes
RRC02;Consum Alforja
RRC03;Consum Alforja, cubes
RRC04;Consum Alforja, cubes 2
